Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
CSAPASEly,-0.8508476133487942,0,0.5915122102879858,7.34013707228424,Chondroitin sulfate degradation
CSBPASEly,-0.961908321201254,0,0.1258817577368386,6.483528050737269,Chondroitin sulfate degradation
CSCPASEly,-0.947229176980563,0,0.144068768172008,5.316098799005895,Chondroitin sulfate degradation
CSDPASEly,-0.993584800336204,0,0.04209841831532422,13.082487104067207,Chondroitin sulfate degradation
CSm,-1,0,NA,460.6922453102112,Citric acid cycle
CSNAT2m,0.9739305056807995,0,46.28490362633467,0.6112798949501547,Fatty acid oxidation
CSNAT2x,-1.0362480266930374,0,-139.90488056563987,2.4905000661758705,Fatty acid oxidation
CSNAT3x,0.7820230890672337,0,58.870408647060394,7.20102332060844,Fatty acid oxidation
CSNATer,1.0083865302119224,0,2.6029858075642727,-623.3569190286994,Fatty acid oxidation
CSPG_At,-1,0,NA,0.10617035935668794,"Transport, extracellular"
CSPG_Atly,-0.8508476133487942,0,0.5915122102879858,7.34013707228424,"Transport, lysosomal"
CSPG_Btly,-0.961908321201254,0,0.1258817577368386,6.483528050737269,"Transport, lysosomal"
CSPG_Ct,0.43409988695384744,0,0.144068768172008,0.056849967660295236,"Transport, extracellular"
CSPG_Ctly,-0.947229176980563,0,0.144068768172008,5.316098799005895,"Transport, lysosomal"
CSPG_Dtly,-0.993584800336204,0,0.04209841831532422,13.082487104067207,"Transport, lysosomal"
CYANt,-0.8392149888633919,0,8.968159295896037,102.58650904662014,"Transport, extracellular"
CYSALANaEx,-0.46368535621665813,0,40.05315263563897,109.31122926186323,"Transport, extracellular"
CYSASNNaEx,-0.9935908548678469,0,0.8626945451477332,268.3446731644154,"Transport, extracellular"
CYSGLNNaEx,0.9132068267874035,0,181.88784702906608,8.2513940424143275,"Transport, extracellular"
CYSSERNaEx,-0.43928052740372747,0,117.59263943109512,301.8421944854498,"Transport, extracellular"
CYSt4,-0.7530673232269594,0,40.260603014095686,285.8250616312504,"Transport, extracellular"
CYSTA,0.5084424786851028,0,732.8981867523194,238.83019813270568,Methionine and cysteine metabolism
CYStec,-4.189318802824111,0,-480.74735782403684,295.4639416028533,"Transport, extracellular"
