Reaction,fc,pval,Truncating,WT,subSystem
CSPG_At,0.3889118823544238,0,0.7141180486232755,0.3141949173695465,"Transport, extracellular"
CSPG_Bt,0.5387773546816259,0,0.710114097350965,0.21284476370907196,"Transport, extracellular"
CSPG_Dtly,-0.3664119756810076,0,3.5687418932516506,7.696439127451787,"Transport, lysosomal"
CSPG_Etly,0.8700972872708984,0,12.422012399122027,0.8628712095269373,"Transport, lysosomal"
CTPtn,0.6751482885437803,0,48.97070217039781,9.49660189492578,"Transport, nuclear"
CYANt,-0.6010381233870685,0,125.27594144997597,502.73364439582826,"Transport, extracellular"
CYSALANaEx,-0.447804292296166,0,21.998370821951376,57.67762272543069,"Transport, extracellular"
CYSASNNaEx,-0.5542410826873717,0,31.990763535734175,111.54316161196083,"Transport, extracellular"
CYSGLNNaEx,0.7559106205551943,0,164.51523662202655,22.869285911368834,"Transport, extracellular"
CYSGLUexR,-1.9715473203334715,0,-16.860210442343867,51.568165658682304,"Transport, extracellular"
CYSGLYexR,0.803816395019524,0,439.74286569976806,47.82656421996434,"Transport, extracellular"
CYTD,-1,0,NA,185.88611949939093,Pyrimidine catabolism
CYTDK1,0.8323678298578929,0,143.4329290934341,13.121804902914091,Nucleotide interconversion
CYTDK2m,0.4238155924583821,0,6.415540372452529,2.596217057981784,Nucleotide interconversion
CYTDt,-1.0288395491237106,0,-224.07460510063171,3.1851757739870963,"Transport, extracellular"
CYTDtl,0.44533180204192097,0,6.558160030200304,2.5167942757038966,"Transport, lysosomal"
CYTDtm,0.4238155924583821,0,6.415540372452529,2.596217057981784,"Transport, mitochondrial"
CYTK10,-0.9792653966017736,0,3.3556048670157406,320.3163557264328,Nucleotide interconversion
CYTK10n,-1.2362813705578228,0,-407.77586857910154,43.08484718282255,Nucleotide interconversion
CYTK11,0.6098764393597126,0,-83.00505280304766,-342.52706664555075,Nucleotide interconversion
CYTK11n,-0.39341611412154365,0,-509.51086833953855,-221.80099633019267,Nucleotide interconversion
CYTK12,1.2061527054793733,0,15.877546861459287,-169.9143015529752,Nucleotide interconversion
CYTK13,-2.2966636806236753,0,-86.05047709599094,33.8458936550064,Nucleotide interconversion
CYTK13n,-2.6413070735039423,0,-47.90461183578162,21.59284473195197,Nucleotide interconversion
CYTK14,1.004430098729264,0,560.518432518959,-1.2388319239496293,Nucleotide interconversion
CYTK1m,0.42248230613083365,0,10.622257433103817,4.312560929588462,Nucleotide interconversion
CYTK2n,-0.6578720244826992,0,-597.5365539367676,-123.3110689347446,Nucleotide interconversion
CYTK3,1.254175247840991,0,52.94975900588036,-469.5895337726593,Nucleotide interconversion
CYTK3n,3.877940294427746,0,296.908577158165,-175.17335317547918,Nucleotide interconversion
CYTK4,-0.7356312893483019,0,73.93412848908147,485.391733537674,Nucleotide interconversion
CYTK4n,9.399183336382585,0,82.13112488269508,-101.68805597787173,Nucleotide interconversion
CYTK5,-1.6400569013594644,0,-144.5018990490893,596.0301889313512,Nucleotide interconversion
CYTK5n,-20.36056269727078,0,-96.56450872896463,106.53989118441125,Nucleotide interconversion
CYTK6,2.5588348389631155,0,584.1299294769287,-255.85960735817713,Nucleotide interconversion
CYTK6n,1.1616882855438109,0,417.3306849372864,-31.215177231419833,Nucleotide interconversion
CYTK7,-0.5152470186945973,0,171.34826240291596,535.6025723974734,Nucleotide interconversion
CYTK7n,-1.5607691473250556,0,-137.14462121689022,626.2750303026558,Nucleotide interconversion
CYTK8,-1.0321288180500197,0,-203.24059248331784,3.213319922572933,Nucleotide interconversion
CYTK8n,2.3784613198939413,0,555.3388657714844,-226.58632833594083,Nucleotide interconversion
CYTK9,0.49487813171313966,0,-151.6229804203272,-448.71919417037964,Nucleotide interconversion
CYTK9n,-0.5104263773910018,0,64.61547834749021,199.35086037454457,Nucleotide interconversion
DADA,0.60608887306069,0,79.70439268895369,19.548387186250462,Nucleotide interconversion
