Reaction,S1K1,S1K1_FC5,fc,pval,subSystem
r2333,96.28741,-655.9677,-1.34408003,0,"Transport, extracellular"
r2341,183.27533,-569.3681,-1.949384879,0,"Transport, extracellular"
r2343,-272.33615,3.2254283,1.023971012,0,"Transport, extracellular"
r2344,-139.51553,108.390686,7.964896212,0,"Transport, extracellular"
r2353,153.77272,-846.1311,-1.444199783,0,"Transport, extracellular"
r2354,323.35745,22.593166,-0.869385018,0,"Transport, extracellular"
r2355,-469.4334,334.77164,5.972036615,0,"Transport, extracellular"
r2356,-81.91265,20.162563,1.653037554,0,"Transport, extracellular"
r2357,-512.13556,405.98022,8.648795046,0,"Transport, extracellular"
r2358,-158.32883,416.71198,2.225535208,0,"Transport, extracellular"
r2360,-93.279434,421.1164,1.569059898,0,"Transport, extracellular"
r2362,-117.56274,3.6117816,1.063391862,0,"Transport, extracellular"
r2364,-102.87158,423.98755,1.640712934,0,"Transport, extracellular"
r2365,369.70947,-0.7976465,-1.004324321,0,"Transport, extracellular"
r2366,-76.08041,23.361984,1.88629294,0,"Transport, extracellular"
r2367,-110.45489,58.075974,3.217532179,0,"Transport, extracellular"
r2374,394.9557,-306.7596,-7.95630874,0,"Transport, mitochondrial"
r2375,165.6891,-538.0579,-1.889919205,0,"Transport, mitochondrial"
r2376,23.902184,748.5441,0.938113021,0,"Transport, mitochondrial"
r2393,2.3740165,327.57776,0.985609917,0,"Transport, mitochondrial"
r2398,524.2518,32.685303,-0.882624787,0,"Transport, mitochondrial"
r2506,-4.8818617,-833.35657,-0.988352092,0,"Transport, endoplasmic reticular"
r2510,28.5057,-3.6872504,-1.297137845,0,"Transport, endoplasmic reticular"
r2532,-123.64409,335.46954,2.167414737,0,"Transport, extracellular"
r2535,-92.45721,40.316776,2.54646895,0,"Transport, extracellular"
r2538,-23.56572,176.40775,1.308367013,0,"Transport, endoplasmic reticular"
EX_sprm[e],-19.364933,103.73426,1.45905148,0,Exchange/demand reaction
RE0577C,-41.939934,1.4059685,1.069372364,0,Fatty acid synthesis
RE0938E,227.12437,-172.8619,-7.371325218,0,Miscellaneous
RE1100C,-151.93936,1.3406267,1.017803958,0,Steroid metabolism
RE1233C,181.07747,-439.9877,-2.398766429,0,Tryptophan metabolism
RE1235C,-41.315968,-427.20984,-0.823634191,0,Urea cycle
RE1845X,11.442872,-249.74797,-1.096035473,0,Bile acid synthesis
RE2270E,15.626889,380.6444,0.921130348,0,Miscellaneous
RE2349C,-418.7817,80.10649,1.473057852,0,Tryptophan metabolism
RE2427M,8.42641,96.04708,0.838688081,0,"Glycine, serine, alanine, and threonine metabolism"
RE2429M,4.819215,75.41815,0.879876045,0,"Glycine, serine, alanine, and threonine metabolism"
RE2541E,11.811755,-184.96678,-1.136429836,0,Miscellaneous
