Reaction,S1K,S1K_FC5,fc,pval,subSystem
r1623,-427.3687,61.094887,1.333602255,0,"Transport, extracellular"
r1624,-227.15222,66.97935,1.83633811,0,"Transport, extracellular"
r1626,473.7865,-12.669224,-1.054950116,0,"Transport, extracellular"
r1627,265.2654,-842.2642,-1.919466102,0,"Transport, extracellular"
r1629,-653.92285,74.43261,1.256889943,0,"Transport, extracellular"
r1631,-470.26306,17.345345,1.076593799,0,"Transport, extracellular"
r1633,-9.922689,860.4753,1.023332337,0,"Transport, extracellular"
r1636,42.223495,-221.35545,-1.471423323,0,"Transport, extracellular"
r1640,-416.34723,773.87036,3.329064634,0,"Transport, extracellular"
r1642,45.793987,-4.830511,-1.2358448,0,"Transport, extracellular"
r1644,53.943413,-668.74786,-1.175481527,0,"Transport, extracellular"
r1645,-400.43057,90.77224,1.586273514,0,"Transport, extracellular"
r1646,-1.2172002,52.35968,1.047600356,0,"Transport, extracellular"
r1647,-453.3678,115.4723,1.683479386,0,"Transport, extracellular"
r1650,-71.797195,419.16757,1.413375464,0,"Transport, extracellular"
r1653,-780.6834,68.23277,1.191543872,0,"Transport, extracellular"
r1654,-374.21628,60.098564,1.38264995,0,"Transport, extracellular"
r1655,-855.0261,474.7047,3.496334619,0,"Transport, extracellular"
r1659,54.18297,-372.8823,-1.340025602,0,"Transport, extracellular"
r1660,52.040264,-369.69785,-1.327650062,0,"Transport, extracellular"
r1668,72.3446,-92.621635,-8.135615442,0,"Transport, extracellular"
r1671,-93.59918,75.360565,9.263844883,0,"Transport, extracellular"
r1677,109.98373,7.9855366,-0.864616659,0,"Transport, extracellular"
r1683,9.847846,247.3901,0.923433956,0,"Transport, extracellular"
r1684,71.624,6.5730553,-0.831884835,0,"Transport, extracellular"
r1690,48.890324,2.7723756,-0.892673998,0,"Transport, extracellular"
r1706,77.972496,6.622674,-0.843426657,0,"Transport, extracellular"
r1710,2.1822958,55.087795,0.923789342,0,"Transport, extracellular"
r1720,177.41974,6.0692973,-0.933845665,0,"Transport, extracellular"
r1722,53.506668,4.2277303,-0.853545534,0,"Transport, extracellular"
r1725,110.158775,6.4953513,-0.888639148,0,"Transport, extracellular"
r1731,11.960155,181.59317,0.87641489,0,"Transport, extracellular"
r1732,112.17027,2.4190392,-0.95777897,0,"Transport, extracellular"
r1733,71.19467,4.462543,-0.882032589,0,"Transport, extracellular"
r1747,137.31602,5.2242966,-0.926697284,0,"Transport, extracellular"
r1753,217.07457,13.5361595,-0.882605998,0,"Transport, extracellular"
r1754,4.1559896,44.08421,0.827695986,0,"Transport, extracellular"
r1759,41.385418,2.1829786,-0.899790728,0,"Transport, extracellular"
r1764,4.751494,197.00473,0.95289866,0,"Transport, extracellular"
r1768,181.54517,5.5426536,-0.940748108,0,"Transport, extracellular"
r1775,411.12878,3.6180847,-0.982552804,0,"Transport, extracellular"
r1780,61.80784,5.406392,-0.839129542,0,"Transport, extracellular"
r1782,182.3264,13.939737,-0.857950653,0,"Transport, extracellular"
r1787,169.723,2.6861339,-0.968840005,0,"Transport, extracellular"
r1799,2.763248,33.917183,0.849333947,0,"Transport, extracellular"
r1806,11.617086,187.2005,0.883138252,0,"Transport, extracellular"
r1808,5.92147,106.17196,0.894347601,0,"Transport, extracellular"
r1832,4.938099,95.186966,0.901361384,0,"Transport, extracellular"
r1841,48.690826,4.465921,-0.831971635,0,"Transport, extracellular"
r1847,40.21126,2.411225,-0.886856674,0,"Transport, extracellular"
r1851,119.4382,7.119503,-0.887490013,0,"Transport, extracellular"
r1854,1.4671823,17.358461,0.844129386,0,"Transport, extracellular"
r1857,2.455123,48.569042,0.903766271,0,"Transport, extracellular"
r1858,1.7559683,418.07617,0.991634902,0,"Transport, extracellular"
r1861,6.088611,169.49312,0.930646419,0,"Transport, extracellular"
r1862,64.88518,3.6111004,-0.894560681,0,"Transport, extracellular"
r1884,3.0152702,202.70094,0.970685149,0,"Transport, extracellular"
r1910,164.09467,1.8995591,-0.977112947,0,"Transport, extracellular"
r1917,9.961483,162.21214,0.884285607,0,"Transport, extracellular"
r1919,4.2067146,176.63316,0.953475809,0,"Transport, extracellular"
r1922,7.0651374,193.39522,0.929510878,0,"Transport, extracellular"
r1928,119.71945,9.321331,-0.855528904,0,"Transport, extracellular"
r1930,267.09012,2.6681328,-0.98021834,0,"Transport, extracellular"
r1931,85.13411,7.497101,-0.838130135,0,"Transport, extracellular"
r1938,6.7106256,113.96499,0.888782408,0,"Transport, extracellular"
r1941,436.27274,42.5325,-0.822339025,0,"Transport, extracellular"
r1947,29.572071,426.88095,0.870426668,0,"Transport, extracellular"
r1948,8.33302,427.62604,0.961771546,0,"Transport, extracellular"
r1953,82.809105,5.537828,-0.874634513,0,"Transport, extracellular"
r1954,188.81383,8.380218,-0.915005366,0,"Transport, extracellular"
r1956,3.1932304,127.65885,0.951193282,0,"Transport, extracellular"
r1957,110.1583,3.3507593,-0.940960496,0,"Transport, extracellular"
r1961,6.8700056,354.9798,0.962028415,0,"Transport, extracellular"
r1975,14.942116,417.27313,0.930857989,0,"Transport, extracellular"
r1976,3.2991562,421.47314,0.984466237,0,"Transport, extracellular"
r1983,3.708153,428.9465,0.982858601,0,"Transport, extracellular"
r1987,12.313297,212.1396,0.890281674,0,"Transport, extracellular"
r1994,113.46104,7.848532,-0.870603246,0,"Transport, extracellular"
r1995,118.96395,4.149846,-0.932585202,0,"Transport, extracellular"
r1999,367.55234,4.137181,-0.977738514,0,"Transport, extracellular"
r2002,2.1970627,384.55887,0.988638505,0,"Transport, extracellular"
r2003,437.01984,4.740347,-0.978538824,0,"Transport, extracellular"
r2004,16.53365,425.05545,0.925117488,0,"Transport, extracellular"
r2011,412.3935,26.805119,-0.87793624,0,"Transport, extracellular"
r2013,4.423263,306.89145,0.971583336,0,"Transport, extracellular"
r2016,16.325266,279.36285,0.889577805,0,"Transport, extracellular"
r2026,439.45374,5.285433,-0.976231316,0,"Transport, extracellular"
r2031,48.510365,3.3028116,-0.872510748,0,"Transport, extracellular"
r2035,18.968939,421.6965,0.913907758,0,"Transport, extracellular"
r2037,19.309584,414.15182,0.910905178,0,"Transport, extracellular"
r2045,10.720787,336.79666,0.938300725,0,"Transport, extracellular"
r2047,17.364485,429.43686,0.922272012,0,"Transport, extracellular"
r2052,429.1507,7.6987967,-0.964753095,0,"Transport, extracellular"
r2054,437.59274,3.7093313,-0.983189152,0,"Transport, extracellular"
r2057,6.2992477,399.3323,0.968941037,0,"Transport, extracellular"
r2059,39.906345,3.0908515,-0.856230101,0,"Transport, extracellular"
r2067,8.461059,431.1301,0.961504875,0,"Transport, extracellular"
r2070,26.0738,424.6617,0.884305548,0,"Transport, extracellular"
r2079,-173.29977,97.546074,3.575347764,0,"Transport, extracellular"
r2080,-482.9026,597.379,9.436717639,0,"Transport, extracellular"
r2085,321.9223,-136.42561,-2.470922531,0,"Transport, extracellular"
r2089,69.962555,-116.42716,-4.011434571,0,"Transport, extracellular"
r2091,-217.087,507.17245,2.496710626,0,"Transport, extracellular"
r2092,123.88925,5.805371,-0.910476306,0,"Transport, extracellular"
r2093,706.92365,-35.150715,-1.10465059,0,"Transport, extracellular"
r2094,1.853229,373.0746,0.990114208,0,"Transport, extracellular"
r2095,314.7922,-165.56343,-3.218921313,0,"Transport, extracellular"
r2096,251.33842,-461.63,-3.390380158,0,"Transport, extracellular"
r2097,94.11666,-321.4311,-1.828074642,0,"Transport, extracellular"
r2098,-422.11554,462.6397,21.83278458,0,"Transport, extracellular"
r2103,57.260826,-16.877485,-1.835863759,0,"Transport, extracellular"
r2106,-387.23264,75.201195,1.482010351,0,"Transport, extracellular"
r2107,-142.16823,135.37128,40.83291655,0,"Transport, extracellular"
r2108,82.96596,-436.888,-1.468837475,0,"Transport, extracellular"
r2109,250.4905,-374.81165,-5.029732263,0,"Transport, extracellular"
r2113,673.26465,-409.7045,-4.109002022,0,"Transport, extracellular"
