Reaction,S1C2,S1K2,fc,pval,subSystem
PCHOLPr_hs,44.061813,641.75,0.871504653,0,Glycerophospholipid metabolism
PGDIr,349.61267,-85.6775,-1.649231388,0,Eicosanoid metabolism
PGISr,-313.91492,-10.153788,0.937335589,0,Eicosanoid metabolism
PI45P5P,3.206596,87.36574,0.929192594,0,Inositol phosphate metabolism
PI4PLC,3.6825671,107.43613,0.933718314,0,Inositol phosphate metabolism
PI4PLCn,7.9328117,411.62646,0.962185024,0,Inositol phosphate metabolism
PIter,-267.7173,27.201666,1.226194593,0,"Transport, endoplasmic reticular"
PROSTGE2t,229.71037,-250.92093,-22.66001167,0,"Transport, extracellular"
PROSTGE2t2,-661.9111,344.7673,3.174202077,0,"Transport, extracellular"
PROSTGF2t,77.12799,-244.99135,-1.918937655,0,"Transport, extracellular"
PROSTGI2tr,313.91492,10.153788,-0.937335589,0,"Transport, endoplasmic reticular"
RAI3,-155.56487,19.390299,1.284785912,0,Vitamin A metabolism
RDH4,167.61191,-355.04626,-2.788486703,0,Vitamin A metabolism
RETI3,167.61191,-355.04626,-2.788486703,0,Vitamin A metabolism
SCP22x,-115.869736,20.310986,1.425099442,0,"Transport, peroxisomal"
SERCYSNaEx,8.1242285,171.03201,0.909305668,0,"Transport, extracellular"
SERGLYexR,376.28745,-261.7376,-5.569846726,0,"Transport, extracellular"
SPRMS,274.78674,11.320681,-0.920864127,0,Urea cycle
SUCOASm,-157.89368,11.383944,1.155401881,0,Citric acid cycle
TAURtcx,-12.391021,-272.8511,-0.913119275,0,Taurine and hypotaurine metabolism
TCHOLAtx,255.51523,12.194178,-0.908899897,0,"Transport, peroxisomal"
TETPENT3CPT1,-8.636721,32.066425,1.737245466,0,Fatty acid oxidation
TETPENT3CPT2,-8.636721,32.066425,1.737245466,0,Fatty acid oxidation
TETPENT3CRNt,-8.636721,32.066425,1.737245466,0,Fatty acid oxidation
TETTET6CPT1,259.8669,-217.59578,-11.29523997,0,Fatty acid oxidation
TETTET6CPT2,259.8669,-217.59578,-11.29523997,0,Fatty acid oxidation
TETTET6CRNt,259.8669,-217.59578,-11.29523997,0,Fatty acid oxidation
THFt2,-28.799694,252.1023,1.257943167,0,"Transport, extracellular"
THFtm,-66.45418,126.37516,3.218060208,0,"Transport, mitochondrial"
THRGLNexR,-400.53824,117.29828,1.828260848,0,"Transport, extracellular"
THYMt,235.99973,-237.97607,-239.8236732,0,"Transport, extracellular"
TMDPP,-92.259964,427.57925,1.550281261,0,Pyrimidine catabolism
TRIODTHYt2,102.20503,-698.93396,-1.342550965,0,"Transport, extracellular"
TSULt4_3,-9.370514,-955.2779,-0.980572168,0,"Transport, extracellular"
TTDCAtr,-5.7157593,3.1276903,3.417006994,0,"Transport, extracellular"
TTDCPT2,180.99734,-145.18695,-9.108648871,0,Fatty acid oxidation
UDPDOLPT_L,-1.98E-15,1.53E-15,7.744599694,0,N-glycan synthesis
UGT1A10r,-1.6944834,-910.2151,-0.996283659,0,Steroid metabolism
UMPK2,257.4157,-210.58623,-9.993741887,0,Nucleotide interconversion
UMPK3,-369.29556,606.2361,4.117201021,0,Nucleotide interconversion
UMPK3n,-370.6265,105.37758,1.794556098,0,Nucleotide interconversion
UMPK4n,42.85629,-112.64385,-2.228192855,0,Nucleotide interconversion
UMPK7,-20.688683,-248.41852,-0.846242082,0,Nucleotide interconversion
URIDK2m,-203.5048,4.240659,1.042563192,0,Nucleotide interconversion
URIt4,4.4669676,237.38507,0.963060326,0,"Transport, extracellular"
VALtec,143.43184,-347.10632,-2.408441921,0,"Transport, extracellular"
XYLUR,-352.2976,611.5324,3.717980324,0,Pentose phosphate pathway
EX_HC01440[e],125.94094,11.366377,-0.834438874,0,Exchange/demand reaction
EX_HC01446[e],-125.94094,-11.366377,0.834438874,0,Exchange/demand reaction
EX_HC02160[e],10.087929,151.58646,0.875206828,0,Exchange/demand reaction
EX_HC02161[e],-10.087929,-151.58646,-0.875206828,0,Exchange/demand reaction
r0027,-270.73737,172.59903,4.517463523,0,Methionine and cysteine metabolism
r0074,375.811,-3.5819323,-1.01924585,0,Urea cycle
r0129,19.85057,224.87898,0.837775443,0,Glutathione metabolism
r0193,-13.023487,-773.3283,-0.966876182,0,Methionine and cysteine metabolism
r0242,100.382416,-185.4827,-3.359155862,0,Miscellaneous
r0276,154.55492,11.770007,-0.858469713,0,Purine catabolism
r0317,-236.0089,38.71377,1.392445306,0,Miscellaneous
r0434,177.89163,-45.344566,-1.684203198,0,Fatty acid oxidation
r0472,3.8867004,286.46796,0.973227911,0,Nucleotide interconversion
