Reaction,S1C2,S1K2,fc,pval,subSystem
r0475,370.48752,9.71796,-0.948880483,0,Nucleotide interconversion
r0552,-27.248537,426.37915,1.136539456,0,"Glycine, serine, alanine, and threonine metabolism"
r0553,139.24176,-43.93979,-1.922117118,0,"Glycine, serine, alanine, and threonine metabolism"
r0591,-3.4856856,1.3348954,2.241307076,0,CoA synthesis
r0610,-155.52603,283.29297,3.434527086,0,Miscellaneous
r0611,155.52603,-283.29297,-3.434527086,0,Miscellaneous
r0629,117.28066,-618.05505,-1.4683972,0,Bile acid synthesis
r0630,-612.4498,-25.626888,0.919674585,0,Bile acid synthesis
r0688,7.3600936,-593.15857,-1.025128418,0,Bile acid synthesis
r0737,125.94094,11.366377,-0.834438874,0,Miscellaneous
r0739,7.3600936,-593.15857,-1.025128418,0,Bile acid synthesis
r0758,100.19736,2.999275,-0.941872618,0,Tryptophan metabolism
r0791,-19.639956,7.945693,2.358904337,0,Fatty acid oxidation
r0826,44.061813,641.75,0.871504653,0,"Transport, endoplasmic reticular"
r0913,-301.56186,11.960231,1.082597821,0,"Transport, mitochondrial"
r0917,125.05595,-237.55933,-3.223149933,0,"Transport, mitochondrial"
r0946,-547.6094,52.74994,1.213191617,0,"Transport, extracellular"
r0960,385.38892,17.943457,-0.911023978,0,"Transport, endoplasmic reticular"
r0961,164.5326,14.556066,-0.83744291,0,"Transport, extracellular"
r0970,60.611275,636.08545,0.826003836,0,"Transport, endoplasmic reticular"
r0998,177.89163,-45.344566,-1.684203198,0,"Transport, endoplasmic reticular"
r1015,27.282879,368.53354,0.862143775,0,"Transport, extracellular"
r1020,3.409325,40.15646,0.843486117,0,"Transport, mitochondrial"
r1044,29.83461,483.53445,0.883769345,0,"Transport, extracellular"
r1164,86.15812,7.366697,-0.842465407,0,Miscellaneous
r1167,4.683732,291.21744,0.96834259,0,Miscellaneous
r1172,86.15812,7.366697,-0.842465407,0,Miscellaneous
r1177,4.683732,291.21744,0.96834259,0,Miscellaneous
r1411,10.087929,151.58646,0.875206828,0,Miscellaneous
r1495,9.526821,174.80563,0.896634357,0,"Transport, extracellular"
r1497,16.591412,185.00346,0.835398475,0,"Transport, extracellular"
r1499,31.210285,376.14618,0.846766706,0,"Transport, extracellular"
r1500,211.81607,7.8938828,-0.928142701,0,"Transport, extracellular"
r1523,3.4207835,35.292908,0.82327783,0,"Transport, extracellular"
r1544,19.601969,-132.88344,-1.346075466,0,"Transport, extracellular"
r1546,-57.69119,118.71002,2.890930404,0,"Transport, extracellular"
r1548,15.900251,331.0788,0.908350362,0,"Transport, extracellular"
r1549,8.481661,881.1127,0.980931397,0,"Transport, extracellular"
r1552,497.0651,23.047384,-0.911375389,0,"Transport, extracellular"
r1553,305.57828,-177.92067,-3.78746644,0,"Transport, extracellular"
r1560,150.36182,-489.95364,-1.885544332,0,"Transport, extracellular"
r1562,307.5085,-578.16974,-3.272275544,0,"Transport, extracellular"
r1563,-438.16794,730.6343,3.996365172,0,"Transport, extracellular"
r1564,-447.22125,19.563498,1.09149137,0,"Transport, extracellular"
r1565,215.73872,-639.6531,-2.017841195,0,"Transport, extracellular"
r1567,-43.28022,166.83524,1.700582172,0,"Transport, extracellular"
r1568,311.1161,-848.0514,-2.15885871,0,"Transport, extracellular"
r1569,-81.4557,559.159,1.341030533,0,"Transport, extracellular"
r1570,-53.19525,873.3166,1.129725318,0,"Transport, extracellular"
r1571,826.38165,-28.953293,-1.072616667,0,"Transport, extracellular"
r1573,-413.28104,308.24426,6.869263198,0,"Transport, extracellular"
r1578,-65.13095,-679.884,-0.825155319,0,"Transport, extracellular"
r1580,291.59445,-30.437822,-1.233100117,0,"Transport, extracellular"
r1581,100.790115,4.2790627,-0.918547709,0,"Transport, extracellular"
r1583,-483.8558,497.27454,73.11632922,0,"Transport, extracellular"
r1588,-322.8909,430.26465,7.01433467,0,"Transport, extracellular"
r1589,-539.61444,89.88141,1.399710093,0,"Transport, extracellular"
r1591,-13.401607,34.919624,2.245617161,0,"Transport, extracellular"
r1592,-55.83705,21.329014,2.236176706,0,"Transport, extracellular"
r1593,847.5334,-233.38872,-1.760044707,0,"Transport, extracellular"
r1594,-41.776752,-834.79114,-0.904681082,0,"Transport, extracellular"
r1595,-73.361725,457.76645,1.381690031,0,"Transport, extracellular"
r1599,-107.644165,7.5614796,1.151104671,0,"Transport, extracellular"
r1600,-181.55438,-7.9884734,0.915707997,0,"Transport, extracellular"
r1603,-73.85433,28.81291,2.279396124,0,"Transport, extracellular"
