Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
GSNt4,0.9945217616187851,0,0.6555090190410614,238.65828984332086,"Transport, extracellular",Guanosine Transport in via Sodium Symport,9153.1 or 64078.1,NA,PMID:12856181
GT1Ate,0.7666252638387517,0,-1.3763964411675478,-0.18182472700111713,"Transport, extracellular",Transport of Gt1A,NA,NA,PMID:8206147
GTHO,0.8645945590784597,0,23.113933251094817,318.28938250617983,Glutamate metabolism,Glutathione Oxidoreductase,2936.1,NA,PMID:10708558
GTHP,0.6584466001309442,0,15.991233148111764,77.64702754109501,Glutathione metabolism,Glutathione Peroxidase,7001.3 or 5052.3 or 2877.1 or 2876.2 or 5052.2 or 2876.1 or 5052.1 or 7001.1 or 2879.1 or 7001.2,NA,"PMID:15802613,PMID:17015272,PMID:17015273"
GTHRDtr,0.33555619415811666,0,123.49461742402315,248.22866854310035,"Transport, endoplasmic reticular",Glutathione Transport via Diffusion,NA,NA,NA
GTMLTe,0.9986929731177995,0,0.5286856955862488,808.4610952890396,Glutathione metabolism,"G-Glutamyltransferase, Extracellular",2679.1 or 2678.1 or 2678.3 or 2678.2,NA,PMID:15469854
GUACYC,0.5410604584352267,0,0.5383337902235682,1.8076562213936354,Nucleotide interconversion,Guanylate Cyclase,(2977.1 and 2983.1) or 4882.2 or (2982.1 and 2974.1) or 2986.1 or 4882.1 or 2984.1 or 4881.1 or (2977.1 and 2974.1) or 3000.1 or (2982.1 and 2983.1),NA,"PMID:10449911,PMID:10777682,PMID:11565546,PMID:11851379,PMID:1352257,PMID:14748740,PMID:15371450,PMID:7601467,PMID:7761400,PMID:7777544,PMID:7954658,PMID:8838319,PMID:9097965,PMID:9742212"
GUAD,1,0,0,33.72968057440817,Purine catabolism,Guanine Deaminase,9615.1,NA,PMID:10075721
H2ETer,0.763830356650104,0,0.8530492653356094,6.37098895766139,Phosphatidylinositol phosphate metabolism,"H2 Phosphoethanolaminyl Transferase, Endoplasmic Reticulum",23556.1 or 23556.2,NA,PMID:10574991
H2O2syn,-0.46592057874402876,0,30.982868334003165,11.288000611091615,Tyrosine metabolism,Hydrogen Peroxide Synthesis (NADPH Dependent),53905.1 or 50506.1 or 53905.2,NA,"PMID:15677770,PMID:15972824"
