Reactions,sprint_GES1_ARID1A_KO,gimme_GES1_ARID1A_KO,init_GES1_ARID1A_KO,sprint_GES1_ARID1A_KO_Volasertib,gimme_GES1_ARID1A_KO_Volasertib,init_GES1_ARID1A_KO_Volasertib,sprint_GES1_WT_Volasertib,gimme_GES1_WT_Volasertib,init_GES1_WT_Volasertib,sprint_GES_WT,gimme_GES_WT,init_GES_WT,sprint_OVCAR3_ARID1A_KO,gimme_OVCAR3_ARID1A_KO,init_OVCAR3_ARID1A_KO,sprint_OVCAR3_WT,gimme_OVCAR3_WT,init_OVCAR3_WT
HMR_0821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMR_0823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0824,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0827,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0829,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
HMR_0830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0831,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1
HMR_0835,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HMR_0836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMR_0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
HMR_0842,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0843,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
HMR_0844,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
