Reaction,fc,pval,Clus,Disp,subSystem
APPNNte,-0.6252608654535656,0,12.932074728102288,2.9817702465545057,"Transport, extracellular"
ARACHCOAtx,-0.3395879712568846,0,34.89666197260097,17.203928240759566,"Transport, peroxisomal"
ARACHCRNt,0.5799869695495128,0,143.9960667013526,541.6782160555839,Fatty acid oxidation
ARACHDtr,1,-12.594795539033457,-50.73883167356122,NA,"Transport, endoplasmic reticular"
ARGNm,0.4537767325173772,0,25.947165640397603,69.05854790227227,Urea cycle
ARSA,-0.5890511469355523,0,6.987156800545602,1.8069676856550716,Sphingolipid metabolism
ASCBt,1,-12.64179104477612,-774.4799199768066,NA,"Transport, extracellular"
ASNt4,0.6683556744753517,0,51.327241650143264,258.20461341142357,"Transport, extracellular"
ASPCTr,8.205440306066155,0,-36.88473665743209,47.12276100866553,Pyrimidine synthesis
ASPGLUm,-0.3853039476575576,0,54.629017493534555,24.240341950518168,"Transport, mitochondrial"
ASPTAm,1.3342932180517733,0,-141.50467451001407,20.264829047827075,Alanine and aspartate metabolism
ATPH1e,0.9236481432004429,0,1.82625233305403,46.011545190283286,Nucleotide interconversion
ATPH2e,0.3749892504864039,0,20.284720267138212,44.62526818641862,Nucleotide interconversion
ATPtn,-0.6044334120252416,0,56.9135939874134,14.031817097703065,"Transport, nuclear"
B3GNT31g,0.3980038971950734,0,0.9495956219742977,2.2052275323610013,Sphingolipid metabolism
B3GNT32g,0.3980038971950734,0,0.9495956219742977,2.2052275323610013,Sphingolipid metabolism
B3GNT33g,0.3980038971950734,0,0.9495956219742977,2.2052275323610013,Sphingolipid metabolism
BAAT1x,-0.37486585677569506,0,18.838591809080402,8.565669801227166,Bile acid synthesis
BAAT2x,-0.7853320200969066,0,121.57310656198263,14.617927031179185,Bile acid synthesis
BAAT4x,0.4492125523123225,0,76.38851442730427,200.99077134981155,Bile acid synthesis
BACCLm,0.6280185271514019,2.4209982623785606e-8,2.6843442883094744,11.748333058511191,Biotin metabolism
BALAVECSEC,0.4800942985833239,0,3.1451758216007577,8.953848340013774,"Transport, extracellular"
BCDO,-0.39048272762922964,0,10.297504206743278,4.513904812771122,Vitamin A metabolism
BDHm,-1.77417838076509,0,50.61830994195584,-181.38483920600413,Butanoate metabolism
BHBtm,-1.77417838076509,0,50.61830994195584,-181.38483920600413,"Transport, mitochondrial"
BHMT,0.5737089645713239,0,33.40985024494044,123.33682030769586,"Glycine, serine, alanine, and threonine metabolism"
BILDGLCURtr,5.778754434879776,0,-1.6310268097055043,1.1498095520591352,"Transport, endoplasmic reticular"
BILGLCURt,0.8635549031343132,0,-106.16878257057071,-7.773427977672779,"Transport, extracellular"
BILGLCURtr,0.6200416450807801,0,1.6484107587046863,7.028386250036664,"Transport, endoplasmic reticular"
BILIRED,-0.38868464091311433,0,2.6292851000154736,1.157442314621468,Heme degradation
BILIRUBt2,1.0005422201543626,0,-0.1635951386084777,603.5905880020142,"Transport, extracellular"
BIOCYTtn,0.3579919180224589,0,2.050219075409355,4.33667583436867,"Transport, nuclear"
BTND1n,0.3579919180224589,0,2.050219075409355,4.33667583436867,Biotin metabolism
BTNDm,0.6280185271514019,2.4209982623785606e-8,2.6843442883094744,11.748333058511191,Biotin metabolism
BTNPLm,0.6280185271514019,2.4209982623785606e-8,2.6843442883094744,11.748333058511191,Biotin metabolism
BUP2,-0.6504718876706983,0,49.886173097514735,10.564627028404177,Pyrimidine catabolism
BUTt2m,0.7931094273455898,0,1.7206186185586658,14.912508705544067,"Transport, mitochondrial"
BZtr,-0.6244143812917856,0,-96.50181999781132,-417.3720622329235,"Transport, endoplasmic reticular"
C160CPT1,6.511937032674855,0,-223.70908194236756,164.14812423750536,Fatty acid oxidation
C161CPT2,-0.5709526679208222,0,-67.93872574153883,-248.75698898208142,Fatty acid oxidation
C161CRN2t,-0.5727301186630074,0,378.13709849357605,102.73001787478589,Fatty acid oxidation
