Reaction,fc,pval,subSystem
r2082,0.8998354941488881,0,"Transport, extracellular"
r2083,-0.8448782595704304,0,"Transport, extracellular"
r2086,-2.0599096608483776,0,"Transport, extracellular"
r2091,-2.7921545026700625,0,"Transport, extracellular"
r2093,-1.0149950656876172,0,"Transport, extracellular"
r2098,2.2515552286361196,0,"Transport, extracellular"
r2101,-8.193423025947187,0,"Transport, extracellular"
r2102,-13.413350136577668,0,"Transport, extracellular"
r2104,3.4813504005678833,0,"Transport, extracellular"
r2106,-1.5556318920226044,0,"Transport, extracellular"
r2107,-4.744148738660763,0,"Transport, extracellular"
r2108,1.131878791259229,0,"Transport, extracellular"
r2109,-4.904503096974196,0,"Transport, extracellular"
r2110,-3.9935025940650157,0,"Transport, extracellular"
r2111,-4.025498299485902,0,"Transport, extracellular"
r2112,-9.478184006630277,0,"Transport, extracellular"
r2113,-1.1852761156148066,0,"Transport, extracellular"
r2114,22.885816213096316,0,"Transport, extracellular"
r2115,0.9963658769273916,0,"Transport, extracellular"
r2116,0.9614384632525165,0,"Transport, extracellular"
r2117,-4.17922381964501,0,"Transport, extracellular"
r2120,-1.4104188343928237,0,"Transport, extracellular"
r2122,-0.9486800818275919,0,"Transport, extracellular"
r2123,-2.7157859899311303,0,"Transport, extracellular"
r2125,0.9314068019347692,0,"Transport, extracellular"
r2126,-0.8383236461540503,0,"Transport, extracellular"
r2132,-9.095705829033049,0,"Transport, extracellular"
r2133,0.9258486718911761,0,"Transport, extracellular"
r2141,-1.6225224109969598,0,"Transport, extracellular"
r2142,-0.8642254111495227,0,"Transport, extracellular"
r2145,0.9116620125457033,0,"Transport, extracellular"
r2149,6.118860253138826,0,"Transport, extracellular"
r2155,0.9232833603469798,0,"Transport, extracellular"
r2157,-0.8731494449748901,0,"Transport, extracellular"
r2163,0.8695345817995125,0,"Transport, extracellular"
r2164,0.8223040468807123,0,"Transport, extracellular"
r2172,-0.9893767366330607,0,"Transport, extracellular"
r2173,-0.9853699463412315,0,"Transport, extracellular"
r2174,-0.8386277942509087,0,"Transport, extracellular"
r2186,-0.947802806737709,0,"Transport, extracellular"
r2187,0.9616545442032542,0,"Transport, extracellular"
r2188,-0.9181411820608202,0,"Transport, extracellular"
r2194,-1.0045321158300766,0,"Transport, extracellular"
r2195,1.1620910619175464,0,"Transport, extracellular"
r2197,-1.2617966196721229,0,"Transport, extracellular"
r2198,-2.9749076590274313,0,"Transport, extracellular"
r2199,0.9508091031689969,0,"Transport, extracellular"
r2200,-0.8686653053045462,0,"Transport, extracellular"
r2210,0.9611266006643218,0,"Transport, extracellular"
r2211,0.9747283229373113,0,"Transport, extracellular"
r2213,0.9311449429679914,0,"Transport, extracellular"
r2215,-0.9071913181234224,0,"Transport, extracellular"
r2217,-0.9658729182397943,0,"Transport, extracellular"
r2226,0.9541593450545274,0,"Transport, extracellular"
r2227,-0.9274359751098347,0,"Transport, extracellular"
r2228,-0.9735205190007047,0,"Transport, extracellular"
r2233,0.9275948942807635,0,"Transport, extracellular"
r2236,0.9038283003493313,0,"Transport, extracellular"
r2241,0.8532091958986493,0,"Transport, extracellular"
r2242,0.9736056243121043,0,"Transport, extracellular"
r2245,-0.8909064735067089,0,"Transport, extracellular"
r2246,-0.9876867060942802,0,"Transport, extracellular"
r2254,0.9486167874857536,0,"Transport, extracellular"
r2260,-0.908126305241176,0,"Transport, extracellular"
r2261,-0.9416753574523565,0,"Transport, extracellular"
r2263,-0.974175798429486,0,"Transport, extracellular"
r2271,0.9348350014506809,0,"Transport, extracellular"
r2276,-0.863097840614355,0,"Transport, extracellular"
r2277,-0.9635910820873793,0,"Transport, extracellular"
r2279,0.9310357828191852,0,"Transport, extracellular"
r2281,0.9634950737435543,0,"Transport, extracellular"
r2283,0.9819371965804834,0,"Transport, extracellular"
r2288,0.9624468511629423,0,"Transport, extracellular"
r2297,-0.977465591754402,0,"Transport, extracellular"
r2301,-0.8646277327646072,0,"Transport, extracellular"
r2316,-2.240841613476826,0,"Transport, extracellular"
r2318,-3.056944951907156,0,"Transport, extracellular"
r2321,0.9542935568227847,0,"Transport, extracellular"
r2322,1.0627373997631226,0,"Transport, extracellular"
r2325,0.9687024167171608,0,"Transport, extracellular"
r2327,-0.9188418064257995,0,"Transport, extracellular"
r2328,-12.193850312677817,0,"Transport, extracellular"
r2329,-15.359176591107445,0,"Transport, extracellular"
r2332,0.9786704390082163,0,"Transport, extracellular"
r2334,0.9408746190180058,0,"Transport, extracellular"
r2341,2.147398267365054,0,"Transport, extracellular"
r2347,0.9372942433645733,0,"Transport, extracellular"
r2352,-1.0947436876980396,0,"Transport, extracellular"
r2354,-1.184754532217293,0,"Transport, extracellular"
r2356,-1.0838650566896781,0,"Transport, extracellular"
r2357,-1.3420079493751722,0,"Transport, extracellular"
r2358,-2.2929581632144163,0,"Transport, extracellular"
