Reaction,fc,pval,Truncating,WT,subSystem,rxnNames,geneRules,kegg,source
HPDCACRNCPT2,12.699862593697748,0,2.243668424081927,-1.9161223032742531,Fatty acid oxidation,Carnitine Fatty-Acyl Transferase,1376.1,NA,"PMID:11274214,PMID:1528846,PMID:1988962"
HPDCACRNt,-1,0,NA,35.3993336663086,Fatty acid oxidation,Heptadecanoate Transport into the Mitochondria,788.1,NA,PMID:14598172
HPYRRy,0.7935990388184724,0,414.2347651677132,47.66865494182147,Glyoxylate and dicarboxylate metabolism,Hydroxypyruvate Reductase (NADPH),9380.1,NA,"PMID:2689175,PMID:9038835"
HS1ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Heparan-N-Sulfatase, Lysosomal",6448.1,NA,"PMID:7493035,PMID:8993162,PMID:9405287"
HS2ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Heparan-N-Sulfatase, Lysosomal",6448.1,NA,"PMID:7493035,PMID:8993162,PMID:9405287"
HS3ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Heparan-N-Sulfatase, Lysosomal",6448.1,NA,"PMID:7493035,PMID:8993162,PMID:9405287"
HS4ly,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Heparan sulfate degradation,"Heparan-N-Sulfatase, Lysosomal",6448.1,NA,"PMID:7493035,PMID:8993162,PMID:9405287"
HSAT1ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Heparan-Glucosaminide N-Acetyltransferase, Lysosomal",NA,NA,"PMID:15591281,PMID:8993162"
HSAT2ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Heparan-Glucosaminide N-Acetyltransferase, Lysosomal",NA,NA,"PMID:15591281,PMID:8993162"
HSAT3ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Heparan-Glucosaminide N-Acetyltransferase, Lysosomal",NA,NA,"PMID:15591281,PMID:8993162"
HSAT4ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Heparan-Glucosaminide N-Acetyltransferase, Lysosomal",NA,NA,"PMID:15591281,PMID:8993162"
HSD11B1r,0.9994190145554783,0,-0.012246407037277822,-42.145116235179735,Steroid metabolism,11-Beta-Hydroxysteroid Dehydrogenase Type 1,3290.2 or 3290.1,NA,"PMID:11673786,PMID:15466942,PMID:7859916"
HSD11B2r,-0.9998029049934305,0,0.012246407037304017,124.25682819271535,Steroid metabolism,11-Beta-Hydroxysteroid Dehydrogenase Type 2,3291.1,NA,"PMID:11673786,PMID:15466942,PMID:7859916"
HSD17B1,0.5998083431923744,0,-104.68141776989698,-418.4750048549652,Steroid metabolism,Testicular 17-Beta-Hydroxysteroid Dehydrogenase,3292.1 or 7923.1,NA,PMID:12943747
HSD17B2r,-0.8208159725020808,0,41.34030237205438,420.08812904920575,Steroid metabolism,17-Beta-Hydroxysteroid Dehydrogenase,3294.1,NA,PMID:8099587
HSD17B8r,0.5972380699069839,0,112.56869293875694,28.385489233112335,Steroid metabolism,17-Beta-Hydroxysteroid Dehydrogenase,3294.1,NA,PMID:8099587
HSD17B9r,0.7332461019698492,0,42.20076290065497,6.4948757079574335,Steroid metabolism,17-Beta-Hydroxysteroid Dehydrogenase (Type 7),51478.1,NA,PMID:14643063
HSD3A1r,1,0,143.5141575381279,0,Steroid metabolism,3 Alpha-Hydroxysteroid Dehydrogenase (Type 3),1109.1,NA,"PMID:14643063,PMID:7650035"
HSD3A2r,-1.1889577324750147,0,-97.7148566648,8.435054487609863,Steroid metabolism,3 Alpha-Hydroxysteroid Dehydrogenase (Type 3),1109.1,NA,"PMID:14643063,PMID:7650035"
HSD3B11r,0.3952943787784296,0,6.900938197690039,2.9907926121649564,Steroid metabolism,3 Beta-Hydroxysteroid Dehydrogenase/Delta 5->4-Isomerase Type I,3284.1,NA,PMID:16023337
HSD3B12r,-0.7502456671042377,0,42.11158487840965,295.1124735805511,Steroid metabolism,3 Beta-Hydroxysteroid Dehydrogenase/Delta 5->4-Isomerase Type I,3284.1,NA,PMID:12832414
HSD3B2r,0.42201583963387906,0,9.872737439590518,4.012814555572087,Steroid metabolism,3 Beta-Hydroxysteroid Dehydrogenase Type 1,3284.1,NA,"PMID:11384872,PMID:14643063"
HSD3B3r,0.8573941409580235,0,32.32802544738073,2.4820611513702397,Steroid metabolism,3 Beta-Hydroxysteroid Dehydrogenase Type 1,3284.1,NA,"PMID:11384872,PMID:14643063"
HSPASEly,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Heparan sulfate degradation,"Heparan Sulfate Proteoglycan Protease, Lysosomal (Endosome)",NA,NA,"PMID:12782143,PMID:8993162"
HSPGt,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,"Transport, extracellular","Heparan Sulfate Transport, Golgi to Extracellular",NA,NA,NA
HSPGtly,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,"Transport, lysosomal","Heparan Sulfate Transport, Extracellular to Lysosome",NA,NA,NA
HTAXOLte,-0.5919245653475144,0,-15.88122854909175,-4.071009006366672,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
HYPOE,0.423912146280138,0,9.740371851597201,3.940769751195051,Vitamin B6 metabolism,Hypothetical Enyme,57026.1,NA,"PMID:14522954,PMID:6380540"
ICDHy,0.7111404196914713,0,64.73314137113569,10.92767597173025,Citric acid cycle,Isocitrate Dehydrogenase (NADP),3417.1,NA,PMID:10521434
ICDHyp,0.84448845601295,0,40.44752018571361,3.410190122915867,Citric acid cycle,Isocitrate Dehydrogenase (NADP+),3417.1,NA,PMID:10521434
ICDHyrm,0.7534809732447405,0,-124.95785470244884,-888.8207273986817,Citric acid cycle,Isocitrate Dehydrogenase (NADP+),3418.1,NA,"PMID:12234803,PMID:8187868"
IDHPOXOX3,0.9338983504339741,0,101.69571734302043,3.476012412268453,Tyrosine metabolism,Iodide:Hydrogen-Peroxide Oxidoreductase 3,7173.4 or 7173.1 or 7173.3 or 7173.2 or 7173.5,NA,"PMID:2997169,PMID:3153466,PMID:3475693"
IDHPOXOX4,0.9368561209098557,0,22.18722964800773,0.72333083036696455,Tyrosine metabolism,Iodide:Hydrogen-Peroxide Oxidoreductase 4,7173.4 or 7173.1 or 7173.3 or 7173.2 or 7173.5,NA,"PMID:2997169,PMID:3153466,PMID:3475693"
IDHPOXOXb,0.33750760531778395,0,16.956129808661075,8.398686479852511,Tyrosine metabolism,Iodide:Hydrogen-Peroxide Oxidoreductase,7173.4 or 7173.1 or 7173.3 or 7173.2 or 7173.5,NA,"PMID:2997169,PMID:3153466,PMID:3475693"
IDOAASE1ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Alpha-L-Iduronidase, Lysosomal",3425.1,NA,"PMID:1946389,PMID:2470345"
IDOAASE2ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Alpha-L-Iduronidase, Lysosomal",3425.1,NA,"PMID:1946389,PMID:2470345"
IDOAASE3ly,0.3470063979177654,0,0.1505190410603972,0.07296770895515302,Heparan sulfate degradation,"Alpha-L-Iduronidase, Lysosomal",3425.1,NA,"PMID:1946389,PMID:2470345"
ILEt5m,0.7475089986871231,0,209.00053480434417,30.197701040350292,"Transport, mitochondrial","Transport of Isoleucine, Mitochondrial",NA,NA,PMID:11004451
ILETAm,0.7475089986871231,0,209.00053480434417,30.197701040350292,"Valine, leucine, and isoleucine metabolism","Isoleucine Transaminase, Mitochondrial",587.1,NA,"PMID:6933702,PMID:9165094"
ILEtec,-0.9768915999467893,0,-171.3497236736119,-2.0029514839172364,"Transport, extracellular",Transport of L-Isoleucine  via Diffusion,8501.1 or 124935.1,NA,"PMID:12930836,PMID:14624363,PMID:15659399"
