GeneID	GES_W1	GES1_ARID1A_KO	GES1_WT_Volasertib	GES1_ARID1A_KO_Volasertib	OVCAR3_WT	OVCAR3_ARID1A_KO
374946	0.26245	0.28453	0.31145	0.3614	0.10236999999999999	0.174405
57085	37.73	54.769999999999996	43.254999999999995	53.260000000000005	49.225	65.9
284498	1.2069999999999999	1.282	1.0779999999999998	1.4615	1.5875	2.7625
102724659	0	0	0	0.06065	0	0.09017
4524.1	3.8505000000000003	4.2235	3.2885	4.305	4.763	7.038
1185	9.7865	15.83	9.788499999999999	14.76	9.605	20.509999999999998
100379251	5.904	9.711500000000001	5.912	9.927	4.8555	10.155000000000001
4878	3.0519999999999996	4.830500000000001	3.2845	6.4555	1.2688	3.492
4879	27.244999999999997	39.42	32.455	29.354999999999997	5.474	1.3477
26829	0	0	0	0.47005	0	0
90231	61.114999999999995	83.69	64.41	81.72	51.25	75.045
5351.1	85.795	162.75	89.89	159.25	90.07	149.14999999999998
9927	63.629999999999995	100.825	67.505	95.84	55.485	84.315
60672	37.900000000000006	55.385000000000005	37.735	51.13	32.2	90.1
102466982	7.8740000000000006	10.296	6.076499999999999	12.939	4.5965	13.845
943	0.054095000000000004	0.06608	0.078625	0.133985	0.070865	0.8643
102465836	0	1.1635	0	3.518	0.90795	13.475
7133	0.1786	1.716	0.19169999999999998	1.501	0.46709999999999996	10.745000000000001
100616438	0	0	0	0	0	1.8355
107984917	0	0	0	0	0	0.023515
55187	5.005	6.268	4.935499999999999	5.9975000000000005	8.55	12.414
677885	1.84935	3.3045	3.3689999999999998	2.59	1.637	3.3215
105376744	0	0	0.02583	0	0	0
9249.1	4.9935	18.8	6.3565000000000005	16.82	26.869999999999997	30.509999999999998
102466722	0	2.4975	0.9485	1.6695	5.394	5.021
343066	0.082935	0.026935	0.05155	0.02724	0.5089	0.32315
126767	0	0	0	0	0.012315	0.08285
93190	0	0	0	0	0.0418	0.1728
390999	0	0	0	0	0.02807	0.4406
65121	0	0	0.02606	0	0	0.39025
105376745	0	0	0	0	0	0
440560	0	0	0	0	0.043215	0.48496
343069	0	0.047575	0	0	0	0.5745
65122	0	0	0	0	0.02579	0.23135
400735	0	0	0	0	0.0607	0.7611800000000001
343071	0	0	0	0	0	0.44087
441871	0	0	0	0	0.03205	0.32345
440561	0	0	0	0	0.0866	0.48885
101929983	0	0	0	0	0.03475	0.3117
649330	0	0	0	0	0	0.33395
441873	0	0	0	0	0.07071	0.40425
649324	0	0	0	0	0	0.07585
440563	0	0	0	0	0.043195	0.38745
645354	0	0	0	0	0	0.07585
645359	0	0	0	0	0.04884	0.2823
101060301	0	0	0	0	0	0.42235
343070	0	0	0	0	0.09542	0.4286
400736	0	0	0	0	0.02033	0.20515
391003	0	0	0	0	0	0.184665
343068	0	0	0	0	0.020075	0.332
391002	0	0	0	0	0.029795	0.4343
645382	0	0	0	0	0.0658	0.47979
653619	0	0	0	0	0.046745	0.78077
729528	0	0	0	0	0	0.45555
645414	0	0	0	0	0	0.23735
391004	0	0	0	0	0	0.532
645425	0	0	0	0	0.031265	0.736
126755	0	0.05165	0	0.0258	0	0.025825
102724856	0	0	0	0	0.02668	0.020055
107984918	0	0	0	0.04436	0	0.1332
10630	0.0557	23.509999999999998	0.07138	23.145	1.125	31.995
107984919	0	0.026375	0	0.05335	0	0.1587
105378612	0	0	0	0	0	0
105376756	0	0	0	0	0	0
7799	3.3005	7.33	3.1895	7.577500000000001	5.175000000000001	8.8485
23254	6.339499999999999	5.398	6.3004999999999995	4.449999999999999	6.6515	6.5440000000000005
107985467	0	0	0	0	0	0
107985468	0	0	0	0	0	0
105376762	0.091445	0	0.093905	0	0	0
105376759	0	0	0	0	0	0
107985469	0.025245	0.2173	0.07818	0.122255	0.07544500000000001	0.19421
200197	0.24545	0.11194	0.1894	0.056405	0.3157	0.192935
55092	16.465	14.51	16.44	14.17	17.36	14.23
727684	0	0	0.032075	0	0	0.234955
114827	0.39085000000000003	0.66965	0.2995	0.7111000000000001	0.094725	0.4484
101927417	0.035785	0.14350000000000002	0.089275	0.05437	0.028014999999999998	0.14409
101927441	0.187735	0.3786	0.16265000000000002	0.41335	0.12664999999999998	0.1985
79180	178.10000000000002	459.1	180.2	393.35	95.22	211.60000000000002
11330	0.016725	0.06412	0.03645	0.06455	0.07475	0.40170500000000003
63036	0	0	0	0	0	1.46765
105376767	0	0.044905	0	0	0.029865	0.0898
51032	0.24925	0.2433	0.06945	0.6159	0.36719999999999997	1.4093
842	2.582	5.702	3.2405	5.8454999999999995	3.2975000000000003	5.523
23341	3.6020000000000003	5.023	3.8135	5.3375	5.6754999999999995	10.2195
107397391	0	0	0	0.40745	0	0
79814.1	1.6520000000000001	1.3705	1.0565	1.3815	1.9825	0.67235
84301	6.968500000000001	12.690000000000001	7.2010000000000005	13.11	10.026499999999999	17.78
6248	5.1095	11.010000000000002	5.791	12.185	6.8294999999999995	12.125
23207	39.71	52.125	41.41	48.18	46.745000000000005	64.75
284723	1.1705	1.6665	1.087	1.4914999999999998	1.552	2.0735
110806303	2.7775	0.8827	2.776	1.246	1.4962	0.44445
388595	0.3914	0.038575	0.3039	0.07755	0.68215	0.543
54751	30.130000000000003	24.435000000000002	28.4	22.59	36.695	34.1
440567	21.560000000000002	31.745	23.77	32.94	18.785	24.765
729614	6.686	4.577999999999999	7.121	4.495	9.458	7.86
23013	18.814999999999998	26.45	18.11	24.29	28.799999999999997	48.32
7709	16.61	17.705	16.935	17.195	14.9	18.48
149563	0	0	0	0	0.03286	0.11055
27129	0.1362	0.016525	0.0795	0.03363	0.37295	0.23355
1187	0.38645	0.04496	0.13705	0.067645	0.45494999999999997	1.3942999999999999
