Reaction,fc,pval,MCF10A_KO,MCF10A_P,rxnNames,subSystem,geneRules,kegg,source
NDP3ex,-1,0,NA,8.183843178676534,"Nucleoside-Diphosphatase (GDP), Extracellular",Nucleotide interconversion,124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NDP7ex,-1,0,NA,370.30666590394975,"Nucleoside-Diphosphatase (UDP), Extracellular",Nucleotide interconversion,124583.1 or 953.1 or 377841.1 or 956.1,NA,PMID:12600208
NDP8,-0.6230222088316686,0,0.44334843815141356,1.9087712279826898,Nucleoside-Diphosphatase (dUDP),Nucleotide interconversion,1841.1,NA,NA
NDP8ex,-1,0,NA,370.30666590394975,"Nucleoside-Diphosphatase (UTP), Extracellular",Nucleotide interconversion,124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NDPK1m,-0.7934290944920251,0,27.01535238759406,234.54473828597963,"Nucleoside-Diphosphate Kinase (ATP:GDP), Mitochondrial",Nucleotide interconversion,4833.1 or 10201.1,NA,PMID:9099850
NDPK3m,-0.9767175483964295,0,0.01699881426626888,1.4432266427180032,"Nucleoside-Diphosphate Kinase (ATP:CDP), Mitochondrial",Nucleotide interconversion,4833.1 or 10201.1,NA,PMID:9099850
NDPK4n,-1,0,NA,550.1692204155922,"Nucleoside-Diphosphate Kinase (ATP:dTDP), Nuclear",Nucleotide interconversion,(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK6m,-0.9920431252731372,0,-58.395298464265466,-0.2332500078050303,"Nucleoside-Diphosphate Kinase (ATP:dUDP), Mitochondrial",Nucleotide interconversion,4833.1 or 10201.1,NA,PMID:9099850
NDPK6n,3.3336983039643466,0,171.26184849114418,-318.03476099677084,"Nucleoside-Diphosphate Kinase (ATP:dUDP), Nuclear",Nucleotide interconversion,(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK8m,-0.5943586043698504,0,7.8553203793496245,30.875048187431695,"Nucleoside-Diphosphate Kinase (ATP:dADP), Mitochondrial",Nucleotide interconversion,4833.1 or 10201.1,NA,PMID:9099850
NICRNS,0.92818847764118,0,10.913657073276863,0.40645732407491453,Nicotinate D-Ribonucleoside Kinase,NAD metabolism,NA,NA,NA
NKCC2t,-0.7923085263762542,0,-169.25104700634031,-19.612694381463527,Na+-K+-Cl- Symport (NH4+),"Transport, extracellular",6557.1 or 6558.1,NA,"PMID:10617769,PMID:12657561,PMID:12739168,PMID:7629105,PMID:8640224"
NMNS,0.9835179493980052,0,59.247662430071834,0.49231869594057603,Nicotinamide Ribotide (NMN) Synthetase,NAD metabolism,10135.1,NA,PMID:19513556
NP1,1,0,10.58471881301786,NA,Nucleotide Phosphatase,NAD metabolism,4860.1,NA,NA
NRVNCCOAtx,0.8298244305395615,0,17.826417922034672,1.657875351695622,Fatty Acid Intracellular Transport,"Transport, peroxisomal",NA,NA,NA
NTD12,-0.43075531376920156,2.832670531630924e-4,0.3843193512449751,0.9659588701986384,5'-Nucleotidase (DIMP),Nucleotide interconversion,30833.1 or 5251.1,NA,PMID:10899995
NTD2e,1,0,0.8646298819128615,NA,"5'-Nucleotidase (UMP), Extracellular",Nucleotide interconversion,4907.1,NA,PMID:2840110
NTD4e,-0.9386913067755569,0,0.8495569089086057,26.86451965111494,"5'-Nucleotidase (CMP), Extracellular",Nucleotide interconversion,4907.1 or 30833.1,NA,PMID:8450671
NTD7e,-0.4342521654678925,0,77.25705781850814,195.8577580160141,"5'-Nucleotidase (AMP), Extracellular",Nucleotide interconversion,4907.1 or 30833.1,NA,PMID:14578500
NTD9e,0.9502652726772243,0,320.9159074066162,8.183843178676534,"5'-Nucleotidase (GMP), Extracellular",Nucleotide interconversion,4907.1 or 30833.1,NA,PMID:16325434
NTP3e,-1,0,NA,8.183843178676534,Nucleoside-Triphosphatase (GTP),Nucleotide interconversion,124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NTPP10,-0.43075531376920156,2.832670531630924e-4,0.3843193512449751,0.9659588701986384,Nucleoside Triphosphate Pyrophosphorylase (dITP),Nucleotide interconversion,3704.1 or 3704.2,NA,PMID:11278832
