Reaction,fc,pval,Ges1_A_D,Ges1_P_D,rxnNames,subSystem,geneRules,kegg,source
r1474,-0.6969315134875732,0,7.996437644327758,44.77340151874125,Long-Chain-Acyl Coenzyme A Dehydrogenase,Fatty acid oxidation,3030.1 and 1962.1 and 1892.1,NA,NA
r1477,-0.6969315134875732,0,7.996437644327758,44.77340151874125,Long-Chain-Acyl Coenzyme A Dehydrogenase,Fatty acid oxidation,(3028.1 and 1962.1 and 3295.1) or (3033.1 and 1962.1 and 3295.1),NA,NA
r1514,1,0,0.4383227316408396,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1515,1,0,0.45807872668019556,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1516,1,0,0.5448387461199076,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1517,1,0,0.6811799123036064,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1518,1,0,0.4542074349999806,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1519,1,0,0.6900053252113583,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1520,1,0,1.3544677821955098,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1521,1,0,2.2595300631139255,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1522,1,0,0.2832263747490579,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1523,1,0,0.5059952866368199,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1525,1,0,0.5741244686428836,NA,ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,"Transport, extracellular",19.1,NA,PMID:16858612
r1538,0.8576432099816034,0,82.5852865804188,6.328759062648104,Anion Exchanger (Ae) Tcdb:2.A.31.2.8,"Transport, extracellular",57835.1,NA,PMID:14722772
r1664,-1.0155018307604942,0,-120.48030701505803,0.9266502767775208,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1666,-0.9029685714282615,0,-10.083878411056967,-0.5141719850024623,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
r1669,-1.0000000646610607,3.8608737387074646e-5,-2.199831516279653,7.112171733751892e-8,Y+Lat2 Utilized Transport,"Transport, extracellular",9057.1,NA,"PMID:14770309,PMID:14770310"
