Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,rxnNames,subSystem,geneRules,kegg,source
C12DCTD,-0.6319164612337,0,0.3043957337193566,1.3495534471627615,Transport of Dodecanedioic Acid by Diffusion,Fatty acid oxidation,NA,NA,"Glatz JFC, Luiken JJFP, Bonen A. (2010). Physiological Reviews 90: 367-417, Kamp F, Hamilton JA. (2006). Prostaglandins, Leukotrienes and Essential Fatty Acids 75: 149-59, PMCID: PMC2785172, Evtodienko VY, Bondarenko DI, Antonenko YN. (1999). Biochimica et Biophysica Acta (BBA) - Biomembranes 1420: 95-103"
C12DCe,1,0,0.295192898047977,NA,Excretion of Dodecanedioyl Carnitine,Fatty acid oxidation,NA,NA,"Korman SH, Waterham HR, Gutman A, Jakobs C, Wanders RJA. (2005). Molecular Genetics and Metabolism 86: 337-44"
C12OHc,-0.5750858320337239,0,4.3999562735430775,16.309902823893683,Production of 3-Ohdodecanoylcarnitinec,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"clinical chemistry 46:2, 149-155(2000), Biochemistry 2005,  44, 5234-5245"
C141ACBP,-0.5395982824682903,0,1.5090392838132065,5.046276330139832,Transport of 3-Hydroxytetradecenoyl Coenzyme A from Mitochondria into Cytosol,Fatty acid oxidation,1622.1,NA,"PMID: 20511713, PMID: 11859412, PMID: 16908521, PMID: 8001684"
C141OHc,-0.5395982824682903,0,1.5090392838132065,5.046276330139832,Production of 3-Hydroxytetradecenoyl Carnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,PMID: 21281499
C141OHe,-0.5395982824682903,0,1.5090392838132065,5.046276330139832,Excretion of 3-Hydroxy Tetradecenoyl-7-Carnitine,Fatty acid oxidation,NA,NA,PMID: 21281499
C142ACBP,-0.4314825612144887,0,0.5593174724691379,1.4083177637127926,Transport of 3-Hydroxytetradeca Dienoyl Coenzyme A from Mitochondria into Cytosol,Fatty acid oxidation,1622.1,NA,"PMID: 20511713, PMID: 11859412, PMID: 16908521, PMID: 8001684"
C142OHc,-0.4314825612144887,0,0.5593174724691379,1.4083177637127926,Production of 3-Hydroxytetradeca Dienoyl Carnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,PMID: 21281499
C142OHe,-0.4314825612144887,0,0.5593174724691379,1.4083177637127926,"Excretion of 3-Hydroxy Trans5,8Tetradecadienoyl Carnitine",Fatty acid oxidation,NA,NA,PMID: 21281499
C14OHc,-0.963497574878327,0,2.825545412559244,151.98857464334964,Production of 3-Hydroxytetradecanoylcarnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"molecular genetics and metabolism,Volume 85, Issue 2, June 2005, Pages 108-114"
C162ACBP,-0.651685960302272,0,1.1229810005729013,5.325113951599802,"Transport of 3-Hydroxy Trans7, 10-Hexadecadienoylcoa from Mitochondria into Cytosol",Fatty acid oxidation,1622.1,NA,"PMID: 20511713, PMID: 11859412, PMID: 16908521, PMID: 8001684"
C162OHc,-0.651685960302272,0,1.1229810005729013,5.325113951599802,Production of 3-Hydroxy Hexadecadienoyl Carnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,PMID: 21281499
C162OHe,-0.651685960302272,0,1.1229810005729013,5.325113951599802,"Excretion of 3-Hydroxy Trans7,10-Hexadecadienoyl Carnitine",Fatty acid oxidation,NA,NA,PMID: 21281499
C16DCc,-0.45789040726661095,0,0.33994308335342865,0.9142058485604677,Production of Hexadecanedioylcarnitine,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"journal of lipid research vol 15(1974), PMID: 20173117"
C16DCe,-0.45789040726661095,0,0.33994308335342865,0.9142058485604677,Transport of Hexadecanedioic Acid Mono-L-Carnitine Ester into Extra Cellular Space,Fatty acid oxidation,NA,NA,PMCID: PMC1151043
C16OHc,-0.4101342216768952,0,1.1240308570873745,2.687110247869813,Production of 3-Hydroxyhexadecanoylcarnitinec,Fatty acid oxidation,1374.1 or 1375.1 or 126129.1,NA,"Biochemistry 2005, 44, 5234-5245"
C16txc,-0.6810205111099099,0,0.7303452544586487,3.848916296181693,Transport of Palmitoylcoa into Peroxisomes,"Transport, peroxisomal",215.1,NA,"european journal of physiology(2007) 453:719-734,PMID: 18854420,PMID: 17039367"
