Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem,rxnNames,geneRules,kegg,source
PI4P3K,-0.3392257481672858,0,3.9929003203966293,8.092619989518525,Inositol phosphate metabolism,Phosphatidylinositol 4-Phosphate 3-Kinase,(5291.1 and 5295.3) or (5296.1 and 5290.1) or (5293.1 and 5296.1) or (5287.1) or (5286.1) or (5293.1 and 8503.1) or (5293.1 and 5295.3) or (5291.1 and 8503.1) or (5295.2 and 5290.1) or (5288.1) or (5291.1 and 5295.1) or (5296.1 and 5291.1) or (23533.1 and 5294.1) or (5293.1 and 5295.1) or (5295.2 and 5293.1) or (5290.1 and 8503.1) or (5290.1 and 5295.3) or (10870.1 and 5294.1) or (5295.2 and 5291.1) or (5290.1 and 5295.1),NA,"PMID:7624799,PMID:7713498,PMID:8246984,PMID:9113989,PMID:9337861,PMID:9830063,PMID:9878262"
PIK5,-0.39766292097019595,0,16.072089629409362,37.29367578319644,Inositol phosphate metabolism,Phosphatidylinositol 5-Kinase,8394.1 or 23396.1 or 8395.1,NA,"PMID:10358929,PMID:9660759"
PIPLC,0.5982412799642015,0,31.78616485415073,7.990263464435435,Inositol phosphate metabolism,Phosphatidylinositol Phospholipase C,23236.2 or 5336.1 or 23007.1 or 113026.1 or 89869.1 or 84812.1 or 9651.1 or 5335.1 or 51196.1 or 257068.1 or 5332.2 or 5331.1 or 5335.2 or 5334.1 or 5332.1 or 5330.1 or 23236.1 or 5333.1,NA,"PMID:10702670,PMID:10702683,PMID:10760467,PMID:11022047,PMID:11022048,PMID:11118617,PMID:12117804,PMID:12213492,PMID:12416999,PMID:13333955,PMID:15140260,PMID:1644792,PMID:2167438,PMID:7607669,PMID:7612006,PMID:7633416,PMID:7789993,PMID:7835906,PMID:7849701,PMID:7890667,PMID:8530101,PMID:9345909"
PLA2_2,-1,0,NA,57.46629101022652,Glycerophospholipid metabolism,Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID:9272153,PMID:9417066"
PLA2_2e,-1,0,NA,66.19866245969534,Glycerophospholipid metabolism,Phospholipase A2,5322.1 or 5319.1 or 81579.1 or 64600.1 or 26279.1 or 5320.1 or 8399.1 or 30814.1,NA,"PMID:10455175,PMID:10681567,PMID:11031251,PMID:11112443,PMID:8300559,PMID:9188469,PMID:9272153,PMID:9886417"
PMI12346PHn,0.4078440515194069,0,48.169458981280115,20.260647221595875,Inositol phosphate metabolism,"5-Diphosphoinositol-1, 2, 3, 4, 6-Pentakisphosphate Diphosphohydrolase, Nuclear",51447.3 or 9807.2 or 51447.4 or 51447.6 or 9807.1 or 51447.5 or 117283.1 or 51447.1 or 51447.2,NA,PMID:11502751
PPAP,0.9226642262863239,0,75.84031622972172,3.050542811442492,Triacylglycerol synthesis,Phosphatidic Acid Phosphatase,8612.1 or 8611.1 or 8613.1 or 8611.2,NA,NA
PPMI12346Ptn,0.4078440515194069,0,48.169458981280115,20.260647221595875,"Transport, nuclear",5-Diphosphatidylinositol Pentakisphosphate Nuclear Transport (Diffusion),NA,NA,NA
PPPG9tm,-1,0,NA,10.551964911921415,Heme synthesis,Protoporphyrinogen Ix Mitochondrial Transport,NA,NA,PMID:14623258
PPPGOm,-1,0,NA,5.275982455960707,Heme synthesis,"Protoporphyrinogen Oxidase, Mitochondrial",5498.1,NA,PMID:8771201
PRAGSr,0.7704940424900697,0,28.822527332608402,3.7362123647832197,Purine synthesis,Phosphoribosylglycinamide Synthase,2618.1 or 2618.2,NA,NA
PRASCS,0.7704940424900697,0,28.822527332608402,3.7362123647832197,Purine synthesis,Phosphoribosylaminoimidazolesuccinocarboxamide Synthase,10606.1,NA,NA
PRDX,-0.7541918676914235,0,19.998829659054124,142.72019408706427,Miscellaneous,Peroxidase (Multiple Substrates),8288.1 or 9588.1,NA,PMID:10464338
PRGNLONEtm,0.5665894747470924,0,-8.562220148175909,-30.948680715062725,"Transport, mitochondrial","Transport of Pregnenolone, Mitochondrial",NA,NA,NA
PRGSTRNt,0.4409356153036493,0,21.244464161830745,8.242577363413096,"Transport, extracellular",Progesterone Transport,NA,NA,NA
PROSTGE1t,-1,0,NA,4.898700467192089,"Transport, extracellular",Prostaglandin Transport via Bicarbonate Antiport,6578.1,NA,"PMID:12507753,PMID:8787677,PMID:9334206"
PROSTGE2t,1,0,3.540368214032594,0,"Transport, extracellular",Prostaglandin Transport via Bicarbonate Antiport,28231.1 or 6578.1 or 28232.1 or 6579.1,NA,"PMID:12507753,PMID:8787677,PMID:9334206"
