Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem,rxnNames,geneRules,kegg,source
HMR_2268,-0.4761587494283665,0,3.0015639686505087,8.458258889419943,Fatty acid synthesis,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,51144.1,NA,PMID:10479480
HMR_2269,-0.4761587494283665,0,3.0015639686505087,8.458258889419943,Fatty acid synthesis,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1,NA,PMID:10479480
HMR_2270,-0.4761587494283665,0,3.0015639686505087,8.458258889419943,Fatty acid synthesis,Very-Long-Chain Enoyl Coenzyme A Reductase,9524.1,NA,PMID:10479480
HMR_2281,0.4805305559195829,0,23.952785301501315,8.404244015767762,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,6319.1 or 79966.1,NA,NA
HMR_2284,0.3935044397921912,0,16.09090922100629,7.0032536126706155,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,6319.1 or 79966.1,NA,NA
HMR_2286,-0.6735648278878141,0,4.409659222768536,22.60740020888529,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,6319.1 or 79966.1,NA,NA
HMR_2287,-0.4654780613891709,0,7.783468863493982,21.339634609947975,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,6319.1 or 79966.1,NA,NA
HMR_2293,-0.3509691092407098,0,8.519819237598702,17.734152210914356,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,6319.1 or 79966.1,NA,NA
HMR_2296,-0.33524662999968435,0,5.462716522829264,10.972601504446535,Fatty acid synthesis,Stearoyl Coenzyme A 9-Desaturase,6319.1 or 79966.1,NA,NA
HMR_2391,0.33032381392220383,0,25.526456380770426,12.849848867063304,Fatty acid synthesis,HMR_2391,NA,NA,NA
HMR_2569,1,0,NA,-1.99821265892089,"Transport, endoplasmic reticular",HMR_2569,NA,NA,NA
HMR_2585,1,0,5.039959970198866,NA,"Transport, nuclear",Prostaglandin-Endoperoxide Synthase,5743.1 or 5742.1,NA,NA
