Reaction,fc,pval,S1K,S1K_FC5,subSystem,rxnNames,geneRules,kegg,source
FAOXC102C101x,-0.6485970665420444,0,20.075726357757393,4.279195490874197,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C10:2->C10:1), Peroxisomal",26063.1,NA,PMID: 11514237
FAOXC102C103x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C10:2->C10:3), Peroxisomal",51.1,NA,"PMID: 18536048, PMID: 17458872"
FAOXC102C81x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C10:2->C8:1), Peroxisomal",1962.1 and 3295.1 and 30.1,NA,PMID:20558530
FAOXC102x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Isomerization (C10:2), Peroxisomal",1962.1 or 10455.1,NA,"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"
FAOXC103C102x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C10:3->C10:2), Peroxisomal",26063.1,NA,PMID: 11514237
FAOXC10C8m,-0.6312885254293102,0,44.66101651086211,10.09449217403906,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C10->C8), Mitochondrial",34.1 and 1892.1 and 3033.1 and 10449.1,NA,"PMID:20195903, PMID:20490924, international journal of molecular medicine 19: 81-87, 2007."
FAOXC11C9m,-0.43345919487876466,0,5.359782353525771,2.1183270655275934,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C11->C9), Mitochondrial",34.1 and 1892.1 and 3033.1 and 10449.1,NA,"J. Oleo Sci. 57, (5) 293-299 (2008), HMDB00847"
FAOXC121C101m,0.36572844359211215,0,5.058834715751936,10.892801975642424,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C12:1->C10:1), Mitochondrial",34.1 and 1892.1 and 3033.1 and 10449.1,NA,"PMID:20195903, PMID:20490924, international journal of molecular medicine 19: 81-87, 2007."
FAOXC123C102x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C12:3->C10:2), Peroxisomal",1962.1 and 3295.1 and 30.1,NA,"PMID:20558530, PMID:20064629"
FAOXC123x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Isomerization (C12:3), Peroxisomal",1962.1 or 10455.1,NA,"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"
FAOXC12DCTc,-2.327307369897746,0,2.193922506649975,-5.499746849083923,Fatty acid oxidation,Transport of Dodecanedioyl Carnitine into Cytosol,788.1,NA,"Westin M, Hunt M, Alexson S. (2008). Cellular and Molecular Life Sciences 65: 982-90. doi:10.1006/mgme.2000.3055,doi:10.1006/bbrc.1999.1340,biochimica et biophysica acta 1546 (2001) 21-43"
FAOXC12DCx,-2.327307369897947,0,2.1939225066501744,-5.499746849083923,Fatty acid oxidation,Production of Dodecanedioyl Carnitine,54677.1,NA,"PMID: 15060085, Westin M, Hunt M, Alexson S. (2008). Cellular and Molecular Life Sciences 65: 982-90, PMID: 20560540"
FAOXC13C11m,-0.43345919487876466,0,5.359782353525771,2.1183270655275934,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C13->C11), Mitochondrial",37.1 and 3030.1 and 3032.1,NA,"J. Oleo Sci. 57, (5) 293-299 (2008)"
FAOXC141C121m,0.36572844359211215,0,5.058834715751936,10.892801975642424,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C14:1->C12:1), Mitochondrial",37.1 and 3030.1 and 3032.1,NA,"PMID:20195903, PMID:20490924, international journal of molecular medicine 19: 81-87, 2007."
FAOXC141C121x,0.5854784395755643,0,2.238556102946101,8.56211781449262,Fatty acid oxidation,"Fatty Acid Beta Xoidation (C14:1->C12:1), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,"PMID: 10709653, PMID: 11296696, PMID: 11330072, PMID: 16766224"
FAOXC141C141OHm,0.3943674083471024,0,2.9607567462629265,6.81664555034203,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C14:1->C14:1Oh), Mitochondrial",37.1 and 3030.1,NA,PMID: 21281499
FAOXC143C123x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C14:3->C12:3), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,PMID:20558530
FAOXC14DCC12DCx,-0.556478469533712,0,10.456733875826815,2.9796664091825,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C14Dc->C12Dc), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,"PMID:15060085,PMID:9827430, HMDB02095,PMID: 12651823"
FAOXC15C13m,-0.43345919487876466,0,5.359782353525771,2.1183270655275934,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C15->C13), Mitochondrial",37.1 and 3030.1 and 3032.1,NA,"J. Oleo Sci. 57, (5) 293-299 (2008)"
FAOXC15NADPx,0.394820032936126,0,2.847875330753786,6.563788920363784,Fatty acid oxidation,"Fatty Acid Alpha Oxidation (2-Hydroxyphytanoyl Coenzyme A) (NADP), Peroxisomal",26061.1 and 224.1,NA,"PMID: 11356164, PMID: 8144536"
FAOXC15NADx,-0.48013645358305523,0,5.488750171588839,1.9277959965727403,Fatty acid oxidation,"Fatty Acid Alpha Oxidation (2-Hydroxyphytanoyl Coenzyme A) (NAD), Peroxisomal",26061.1 and 224.1,NA,PMID:11591435
FAOXC161C141m,0.3766116594397562,0,8.019591457507364,17.70944752419735,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C16:1->C14:1), Mitochondrial",37.1 and 3030.1 and 3032.1,NA,"PMID:20195903, PMID:20490924, international journal of molecular medicine 19: 81-87, 2007."
FAOXC161C141x,0.5854784395755643,0,2.238556102946101,8.56211781449262,Fatty acid oxidation,"Fatty Acid Beta Xoidation (C16:1->C14:1), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,"PMID: 10709653, PMID: 11296696, PMID: 11330072, PMID: 16766224"
FAOXC161C161OHm,0.8041910778221282,0,4.879858336031893,44.963205828317626,Fatty acid oxidation,Production of 3-Hydroxyhexadecenoylcoa,37.1 and 3030.1,NA,"PMID: 9510849, clinical chemistry 46:2, 149-155(2000)"
FAOXC164C143x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C16:4->C14:3), Peroxisomal",1962.1 and 3295.1 and 30.1,NA,"PMID:7876265, PMID:20558530"
FAOXC164C165x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C16:4->C16:5), Peroxisomal",51.1,NA,"PMID: 18536048, PMID: 17458872"
FAOXC164x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Isomerization (C16:4), Peroxisomal",1962.1 or 10455.1,NA,"PNAS August 1, 1992 vol. 89 no. 15 6673-6677,PMID: 2303409,PMID: 10419495,  FEBS LETTERS vol.215 no.2 228-232"
FAOXC165C164x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C16:5->C16:4), Peroxisomal",26063.1,NA,PMID: 11514237
FAOXC16BRx,-0.5010907529001111,0,5.388039788541711,1.7907930410283928,Fatty acid oxidation,"Fatty Acid Activation (C16Br), Peroxisomal",11001.1,NA,PMID: 11591435
FAOXC16DCC14DCx,-0.556478469533712,0,10.456733875826815,2.9796664091825,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C16Dc->C14Dc), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,"PMID:15060085,PMID:9827430"
FAOXC16DCr,-0.43269264729610657,0,15.156891911449703,6.0017172850936245,Fatty acid oxidation,"Fatty Acid Activation (C16Dc), Endoplasmatic Reticulum",51703.1,NA,"PMID:15060085,PMCID:PMC1152672"
FAOXC16OHC16r,-0.4099911345456958,0,6.52279911268182,2.7294563843479387,Fatty acid oxidation,"Fatty Acid Omega Oxidation (C16->W-Ohc16), Endoplasmatic Reticulum",8529.1 and 4051.1,NA,"PMID: 4703570,PMID: 9827430,PMID:15060085"
FAOXC181C161x,0.5854784395755643,0,2.238556102946101,8.56211781449262,Fatty acid oxidation,"Fatty Acid Beta Xoidation (C18:1->C16:1), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,"PMID: 10709653, PMID: 11296696, PMID: 11330072, PMID: 16766224, PMID: 3821403"
FAOXC184C164m,0.4017264249139185,0,4.394952859095077,10.29716473430763,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C18:4->C16:4), Mitochondrial",37.1 and 3030.1 and 3032.1,NA,"PMID:20195903, PMID:20490924, international journal of molecular medicine 19: 81-87, 2007."
FAOXC184C164x,-0.3807327853298662,0,16.323047911538694,7.320988190115849,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C18:4->C16:4), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,PMID:20558530
FAOXC185C164m,-0.37749611298892655,0,7.849792781086569,3.547397682201036,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C18:5->C16:4), Mitochondrial",37.1 and 3030.1 and 3032.1,NA,"PMID:20195903, PMID:20490924, international journal of molecular medicine 19: 81-87, 2007."
FAOXC185m,-0.37749611298892655,0,7.849792781086569,3.547397682201036,Fatty acid oxidation,"Isomerization (C18:5), Mitochondrial",1632.1,NA,"""Journal of Molecular Biology, Volume 342, Issue 4, 24 September 2004, Pages 1197-1208"""
FAOXC201C181x,0.5854784395755643,0,2.238556102946101,8.56211781449262,Fatty acid oxidation,"Fatty Acid Beta Xoidation (C20:1->C18:1), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,"PMID: 20626744, PMID: 3821403"
FAOXC205C185m,-0.37749611298892655,0,7.849792781086569,3.547397682201036,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C20:5->C18:5), Mitochondrial",37.1 and 3030.1 and 3032.1,NA,"PMID:20195903, PMID:20490924, international journal of molecular medicine 19: 81-87, 2007."
FAOXC221C201x,0.5854784395755643,0,2.238556102946101,8.56211781449262,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C22:1->C20:1), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,PMID: 20626744
FAOXC22C20x,-0.3923464523804471,0,2.958214986345491,1.291036313556099,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C22->C20), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,PMID: 11124748
FAOXC22OHC22r,-0.41664258110026176,0,10.641068256991288,4.381871754774707,Fatty acid oxidation,"Fatty Acid Omega Oxidation (C22->W-Ohc22), Endoplasmatic Reticulum",8529.1 and 4051.1,NA,"PMID: 15716582,PMID: 19783438"
FAOXC241C221x,0.5854784395755643,0,2.238556102946101,8.56211781449262,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C24:1->C22:1), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,PMID: 20626744
FAOXC24C22x,0.4358823375359577,0,4.892264520447483,12.452572721762863,Fatty acid oxidation,"Fatty Acid Beta Oxidation (C24->C22), Peroxisomal",51.1 and 1962.1 and 3295.1 and 30.1,NA,PMCID:PMC1131640
