Reaction,fc,pval,S1K1,S1K1_FC5,subSystem,rxnNames,geneRules,kegg,source
THRCYSNaEx,0.9095767374479787,0,1.2064175067390825,25.477368782104925,"Transport, extracellular",L-Cysteine/L-Threonine Na-Dependent Exchange (Thr-L In),6509.1 or 6510.1,NA,PMID:14530974
THRGLNNaEx,0.924593964284998,0,2.572795272358256,65.66564871857538,"Transport, extracellular",L-Threonine/L-Glutamine Na-Dependent Exchange (Thr-L In),6510.1,NA,PMID:14530974
THRSERNaEx,-0.4120453803449483,0,57.721735774998365,24.03446920036515,"Transport, extracellular",L-Serine/L-Threonine Na-Dependent Exchange (Thr-L In),6509.1 or 6510.1,NA,PMID:14530974
THRt4,-0.7534066156295034,1.1240587443661909e-15,1.1970572153348475,0.1683502202987671,"Transport, extracellular",L-Threonine via Sodium Symport,11254.1 or 81539.1 or 54407.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1),NA,"PMID:10747860,PMID:10891391,PMID:10930503,PMID:11325958"
THYMDt1,1,0,0,188.4874510253906,"Transport, extracellular",Thymd Transport,3177.1 or 2030.1,NA,"PMID:10722669,PMID:12838422,PMID:9693094"
THYMDtm,0.5264395898859665,0,5.791491442693828,18.66786503644781,"Transport, mitochondrial",Thymd Transport,2030.1,NA,"PMID:10722669,PMID:12838422,PMID:14607828"
THYMt,-1.027950929164904,0,6.666870133413002,-483.7079083099961,"Transport, extracellular",Thymine Reversible Transport via Faciliated Diffusion,3177.1,NA,"PMID:12006583,PMID:12838422"
THYOXt2,0.5950763300513112,0,2.0196524609714746,7.955820008827097,"Transport, extracellular",T4 Transport via Facilitated Diffusion,6567.1,NA,"PMID:12871948,PMID:7981683"
TMABADH,-0.33440538873886616,0,5.281800146095614,2.634535010625228,Lysine metabolism,4-Trimethylaminobutyraldehyde Dehydrogenase,223.1,NA,"PMID:10702312,PMID:8645224,PMID:8786138"
TMDK1m,0.5264395898859665,0,5.791491442693828,18.66786503644781,Nucleotide interconversion,Thymidine Kinase (ATP:Thymidine),7084.1,NA,"PMID:12535661,PMID:9342341"
TMDPP,1.0492999003934544,0,-11.893848598617991,494.4038944078445,Pyrimidine catabolism,Thymidine Phosphorylase,1890.1,NA,"PMID:7028324,PMID:718961,PMID:9693094"
TMLYSOX,-0.33440538873886616,0,5.281800146095614,2.634535010625228,Lysine metabolism,Trimethyllysine Dioxygenase,55217.1,NA,"PMID:11431483,PMID:11802770,PMID:627563"
