Reaction,fc,pval,S1C1,S1K1,subSystem,rxnNames,geneRules,kegg,source
ACOAO7p,-0.4741821581666201,0,15.701217666884371,5.600380076519784,Fatty acid oxidation,"Acyl Coenzyme A Oxidase (Hexadecanoyl Coenzyme A), Peroxisomal",51.1 or 51.2,NA,"PMID:7876265,PMID:8159712"
ACODA,0.4394751885045704,0,69.86680712893009,179.42387794362455,Urea cycle,Acetylornithine Deacetylase,95.1,NA,PMID:2006156
ACONTm,-0.8551839336901055,0,41.93243474152088,3.273255087965727,Citric acid cycle,Aconitate Hydratase,50.1 or 48.1,NA,"PMID:10419470,PMID:17244191,PMID:17244192"
ACSRTNMT,-0.5080078729537831,0,14.421508853805452,4.7050608577406585,Tryptophan metabolism,S-Adenosyl-L-Homocysteine:N-Acetylserotonin O-Methyltransferase,438.1,NA,PMID:8397829
ACt2m,0.45497616163707383,0,-490.01116010360715,-183.5547346836567,"Transport, mitochondrial",Acetate Mitochondrial Transport via Proton Symport,NA,NA,"PMID:10198029,PMID:15755952"
ADAe,-0.5368669119424067,0,125.23218620364145,37.73857623585137,Purine catabolism,"Adenosine Deaminase, Extracellular",100.1,NA,"PMID:12381379,PMID:15016824"
ADEt,-19.834017095238362,0,137.1216729430288,-151.68273787672223,"Transport, extracellular","Adenine Reversible Transport, Cytosol",3177.1,NA,"PMID:12006583,PMID:12838422"
ADK1m,0.4459891545444782,0,145.0394682403505,378.55847006750105,Nucleotide interconversion,"Adenylate Kinase, Mitochondrial",205.3 or 205.1 or 204.1 or 204.3 or 204.2 or 205.2,NA,"PMID:11485571,PMID:195572,PMID:8843353,PMID:9434148"
ADK3,0.39331426953822085,0,247.6158232504487,568.6744266025544,Nucleotide interconversion,Adentylate Kinase (GTP),26289.1 or 26289.2,NA,PMID:9434148
ADK3m,-0.5701897937979309,0,200.72783006076813,54.945504275781474,Nucleotide interconversion,Adentylate Kinase (GTP),50808.1,NA,PMID:11485571
ADMDC,-0.5201040664356416,0,81.1408313323874,25.61611133226503,Arginine and proline metabolism,Adenosylmethionine Decarboxylase,262.1,NA,PMID:2460457
ADNCYC,-0.6163244866357097,0,21.913631229051145,5.201754833883729,Nucleotide interconversion,Adenylate Cyclase,112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1,NA,"PMID:10481931,PMID:11299302,PMID:11423534,PMID:11840511,PMID:12503609,PMID:12609998,PMID:12623444,PMID:1427768,PMID:14996950,PMID:15547246,PMID:7860067,PMID:7959689,PMID:8076676"
ADNt,-1.3792669922731717,5.6021642155120236e-8,14.376761137901246,-2.291727230743505,"Transport, extracellular",Adenosine Faciliated Transport in Cytosol,3177.1 or 2030.1,NA,"PMID:10722669,PMID:12838422"
ADPMAN,-0.592219911361808,0,9.466577881119775,2.4244653266279736,Nucleotide interconversion,ADPmannose Diphosphatase,11164.1,NA,"PMID:10567213,PMID:10722730,PMID:12717453"
ADPRIBt,-1,0,8.22934921848349,NA,"Transport, extracellular",ADPribose Transport,952.1,NA,PMID:8394137
ADRNt,1.652330865631332,0,-1.20567040661738,4.902170051626577,"Transport, extracellular",Fatty Acid Transport via Diffusion,NA,NA,"PMID:11788354,PMID:12864740"
AFLATOXINte,0.6010597612354076,0,2.959587070762294,11.877658126299389,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
AGTix,0.5187174012898625,0,10.867306169068632,34.292465649790316,Alanine and aspartate metabolism,"Alanine-Glyoxylate Transaminase (Irreversible),, Peroxisomal",189.1,NA,"PMID:1703535,PMID:9038835,PMID:9783918"
AHEXASE2ly,-0.49341711891823253,0,4.813722346615011,1.6328655297873504,N-glycan degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or 3074.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724"
AHEXASEly,0.451276754590224,0,1.3056562086488324,3.4532316991298635,N-glycan degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or 3074.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724"
AKGDm,0.43232974875654867,0,234.64875465774537,592.0591946975708,Citric acid cycle,2-Oxoglutarate Dehydrogenase,(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,PMID:1542694
AKGtp,1,0,-61.37613371106847,NA,"Transport, peroxisomal","Akg Transporter, Peroxisome",NA,NA,NA
AKR1C41,-0.3607815138264734,0,221.1626803179145,103.88976648673415,Bile acid synthesis,"Aldo-Keto Reductase Family 1, Member C4 (Chlordecone Reductase",1109.1,NA,NA
AKR1D,0.431558462873773,0,2.9580747021198817,7.449590849818902,Bile acid synthesis,"Aldo-Keto Reductase Family 1, Member D1 (Delta 4-3-Ketosteroid-5-Beta-Reductase)",6718.1,NA,NA
ALACYSNaEx,-0.5057659350191488,0,26.278038305576146,8.625179644087417,"Transport, extracellular",L-Alanine/L-Cysteine Na-Dependent Exchange (Ala-L In),6509.1 or 6510.1,NA,PMID:14530974
ALAGLNNaEx,0.6385968902078816,0,11.772762660614308,53.37754923009458,"Transport, extracellular",L-Alanine/L-Glutamine Na-Dependent Exchange (Ala-L In),6510.1,NA,PMID:14530974
ALAt4,1,9.905743658168809e-11,0,3.0995623970326034,"Transport, extracellular",Alanine-Sodium Symporter,54407.1 or 6542.1 or 11254.1 or 6541.1 or 81539.1 or 55089.1 or 84889.1 or (340024.1 and 57393.1) or (340024.1 and 59272.1),NA,"PMID:10747860,PMID:10891391,PMID:10930503,PMID:11325958,PMID:11342143,PMID:11414754,PMID:11591158,PMID:11891586,PMID:12049641,PMID:1348489,PMID:14770310,PMID:7534987,PMID:8954799"
ALATA_L,-4.9398948921254915,0,93.79017669282631,-62.21043381987959,Glutamate metabolism,L-Alanine Transaminase,2875.1 or 84706.1,NA,PMID:11863375
ALCD21_D,-0.9996465287885142,0,0.025139614414423705,4.443850368261337e-6,Pyruvate metabolism,"Alcohol Dehydrogenase (D-1, 2-Propanediol)",127.1 or 284273.2 or 125.1 or 128.1 or 131.1 or (125.1 and 124.1) or 124.1 or 130.1 or 137872.1 or (125.1 and 126.1) or (126.1 and 124.1) or 284273.1 or 126.1,NA,"PMID:15987839,PMID:2296157"
ALDD21,0.9616221583426072,0,10.427486082468555,532.984317820263,Fatty acid oxidation,"Aldehyde Dehydrogenase (Pristanal, NAD)",224.1,NA,"PMID:11591435,PMID:8528251"
